Fecha,Reserva (hm3)
12/09/2017,45.77
13/09/2017,45.62
14/09/2017,45.47
15/09/2017,45.34
16/09/2017,45.13
17/09/2017,44.96
18/09/2017,44.81
19/09/2017,44.61
20/09/2017,44.45
21/09/2017,44.31
22/09/2017,44.19
23/09/2017,43.99
24/09/2017,43.84
25/09/2017,43.69
26/09/2017,43.52
27/09/2017,43.37
28/09/2017,43.3
29/09/2017,43.19
30/09/2017,43.03
01/10/2017,42.88
02/10/2017,42.73
03/10/2017,42.58
04/10/2017,42.45
05/10/2017,42.35
06/10/2017,42.24
07/10/2017,42.08
08/10/2017,41.94
09/10/2017,41.82
10/10/2017,41.67
11/10/2017,41.53
12/10/2017,41.41
13/10/2017,41.31
14/10/2017,41.15
15/10/2017,41
16/10/2017,40.87
17/10/2017,40.72
18/10/2017,40.65
19/10/2017,40.72
20/10/2017,40.69
21/10/2017,40.62
22/10/2017,40.56
23/10/2017,40.49
24/10/2017,40.39
25/10/2017,40.3
26/10/2017,40.23
27/10/2017,40.15
28/10/2017,40.03
29/10/2017,39.92
30/10/2017,39.83
31/10/2017,39.71
01/11/2017,39.61
02/11/2017,39.52
03/11/2017,39.46
04/11/2017,39.41
05/11/2017,39.43
06/11/2017,39.36
07/11/2017,39.29
08/11/2017,39.24
09/11/2017,39.18
10/11/2017,39.13
11/11/2017,38.99
12/11/2017,38.9
13/11/2017,38.81
14/11/2017,38.67
15/11/2017,38.58
16/11/2017,38.49
17/11/2017,38.42
18/11/2017,38.33
19/11/2017,38.22
20/11/2017,38.15
21/11/2017,38.05
22/11/2017,37.96
23/11/2017,37.87
24/11/2017,37.85
25/11/2017,37.76
26/11/2017,37.71
27/11/2017,37.62
28/11/2017,37.54
29/11/2017,37.5
30/11/2017,37.66
01/12/2017,37.64
02/12/2017,37.6
03/12/2017,37.6
04/12/2017,37.51
05/12/2017,37.45
06/12/2017,37.41
07/12/2017,37.37
08/12/2017,37.31
09/12/2017,37.29
10/12/2017,37.2
11/12/2017,37.14
12/12/2017,37.17
13/12/2017,37.15
14/12/2017,37.09
15/12/2017,37.09
16/12/2017,36.97
